branch_id,segment_length_cm,pressure_prox_systolic,pressure_dist_systolic,pressure_drop_systolic,flow_systolic,resistance_systolic,resistance_per_cm_systolic,warning,rank
29,0.8170523563659684,11437.480088341752,7404.276703113651,4033.203385228101,1.2363518473129718,3262.180902623855,3992.621619908384,,1
8,0.865396581887961,12683.525406730474,7742.967498836817,4940.557907893657,1.8840366089110614,2622.3258531845668,3030.201306623681,,2
13,1.0349430556799253,24034.10926172402,15334.930150484632,8699.17911123939,3.9187981373581033,2219.8589481580257,2144.90926430696,,3
16,0.6061315597326171,21575.87226855653,14227.28190514254,7348.59036341399,4.199065384700168,1750.0538072566148,2887.250761251594,,4
4,0.8829876708121297,11732.324807106525,8739.881232423295,2992.4435746832296,1.8881199706723133,1584.8799976506227,1794.906146529686,,5
19,0.5548337395516217,27471.5736532299,18445.44368224575,9026.129970984151,5.920964682659562,1524.4357051171971,2747.554080523547,,6
10,0.776871800035149,13337.704047652516,9722.739397777628,3614.964649874888,3.0230072330367093,1195.8174000938589,1539.272502927452,,7
9,1.251166950877159,12241.397545148224,9136.771155298311,3104.626389849913,2.833629433606247,1095.6359900238538,875.6912810522475,,8
30,0.5504703308146427,11831.595347864302,8975.15689559458,2856.438452269722,2.6218349087401576,1089.4806697200838,1979.1814539900054,,9
12,0.9475584377080871,29697.021715428597,18615.688781046127,11081.33293438247,11.543552202442564,959.9586626409251,1013.086501517343,,10
22,0.694600354230355,22749.931766703634,18288.119353912818,4461.812412790816,5.4757740669297394,814.8277044039089,1173.0885241294911,,11
18,0.8785214274401864,33227.36451714479,25202.749033476906,8024.615483667887,9.870703613737595,812.9729954103367,925.3877822640673,,12
7,1.1631857920049555,28969.451513189764,22626.49547737363,6342.9560358161325,8.92345464958734,710.8184313022153,611.0962119619727,,13
14,1.6539704169028004,36209.72588705865,27625.416042533725,8584.309844524927,13.427838080395261,639.2920284805996,386.5196269215794,,14
1,0.7422871845963245,23257.602775475516,10818.96215484165,12438.640620633865,24.837939388528234,500.79197094662504,674.6606722288611,,15
24,1.837685605953959,25031.03147412197,21613.70380888022,3417.3276652417517,7.3938493049042116,462.18519262694434,251.50395210666073,,16
26,1.3597010703539518,29894.115907361658,25230.521192496974,4663.594714864685,10.401663088430945,448.35087189582987,329.7422364896109,,17
2,0.9807243730554688,11481.904151310993,9928.423131123833,1553.4810201871605,3.4914631244626357,444.936969061145,453.68197353445385,,18
21,1.164454823867263,31489.112970388796,26205.93063306471,5283.182337324088,12.033279211421725,439.0475982897004,377.0413323821206,,19
3,0.29830203409674916,13534.284599849967,11215.764799468376,2318.5198003815913,5.5941492144068015,414.45440790364137,1389.3784169410665,,20
11,0.553131956768371,10771.500668180872,9934.153565328406,837.3471028524655,2.985614529728339,280.4605532679584,507.0409507823895,,21
25,1.1199750523396068,24469.269239377794,23096.20353450875,1373.0657048690446,9.126810949157942,150.4430969938877,134.32718584187649,,22
28,0.06239058299658159,10876.071986725388,10536.913930859462,339.15805586592614,2.9003093733151526,116.93857868626509,1874.2985410582269,,23
20,0.7142090165191038,31244.086535855025,29312.596741786267,1931.4897940687588,18.45054833472534,104.68468248358492,146.57429416642597,,24
17,0.4943162174588009,22766.248833008194,21963.491573974658,802.7572590335367,7.905275750432556,101.54702813366275,205.42928705778553,,25
6,1.0158392989627325,36395.61902227654,35377.222645881666,1018.3963763948777,15.432475535664677,65.99047405203065,64.9615289735425,,26
0,0.5601583697929033,49553.84019454691,41179.495811371795,8374.344383175114,152.11408393784282,55.0530507523357,98.28122495552358,,27
23,0.3738118312316887,27229.338481272705,26324.358708329524,904.9797729431812,28.386724858479894,31.88038695745624,85.28458516792307,,28
15,0.052174004403863834,24904.502016335624,24531.756523352982,372.74549298264174,11.743309832444377,31.74109329490922,608.3698895183629,,29
5,1.0264827019574316,31085.216261874877,30434.654227835585,650.5620340392925,149.52972657990153,4.350720414724114,4.238474166615365,,30
31,0.09135878490076657,19992.587265994185,20074.624809369507,-82.03754337532155,6.093520444967027,-13.463078382395658,-147.36490198527906,,31
27,0.06891235736394816,11090.025262466863,11167.849828616776,-77.82456614991315,5.463864108827301,-14.243503242363122,-206.69011752331494,,32
-1,2990.6647187072767,18856.806137443582,30075.62878425617,-11218.822646812587,33.502819118937815,-334.8620486826743,-0.11196910392129124,,33
